id,type,role,section,act,label,name,number
caseno:56/1987,CaseNumber,,,,,,56/1987
0001406173,Case,candidate,,,,,
statute:S.146 (1),Statute,,146 (1),,S.146 (1),,
statute:S.145 (6),Statute,,145 (6),,S.145 (6),,
0001417351,Case,candidate,,,,,
statute:S.1908,Statute,,1908,,S.1908,,
caseno:286/1908,CaseNumber,,,,,,286/1908
0001417795,Case,candidate,,,,,
statute:S.11O,Statute,,11O,,S.11O,,
statute:S.95 (2),Statute,,95 (2),,S.95 (2),,
statute:S.18000,Statute,,18000,,S.18000,,
statute:S.36000,Statute,,36000,,S.36000,,
statute:S.95(2) the Motor Vehicles Act,Statute,,95(2),the Motor Vehicles Act,S.95(2) the Motor Vehicles Act,,
statute:S.20000,Statute,,20000,,S.20000,,
statute:S.501,Statute,,501,,S.501,,
"statute:S.110B the Motor Vehicles Act, 1939",Statute,,110B,"the Motor Vehicles Act, 1939","S.110B the Motor Vehicles Act, 1939",,
statute:S.94 that Act,Statute,,94,that Act,S.94 that Act,,
caseno:504/1967,CaseNumber,,,,,,504/1967
caseno:501/1967,CaseNumber,,,,,,501/1967
caseno:502/1967,CaseNumber,,,,,,502/1967
caseno:503/1967,CaseNumber,,,,,,503/1967
0001420504,Case,candidate,,,,,
"statute:S.5 the Indian Oaths Act, 1873",Statute,,5,"the Indian Oaths Act, 1873","S.5 the Indian Oaths Act, 1873",,
statute:S.118 the Evidence Act,Statute,,118,the Evidence Act,S.118 the Evidence Act,,
statute:S.13 the Oaths Act,Statute,,13,the Oaths Act,S.13 the Oaths Act,,
caseno:2/1951,CaseNumber,,,,,,2/1951
0001420506,Case,candidate,,,,,
statute:S.202 the Indian Companies Act,Statute,,202,the Indian Companies Act,S.202 the Indian Companies Act,,
"statute:S.179 the Companies Act, 1913",Statute,,179,"the Companies Act, 1913","S.179 the Companies Act, 1913",,
statute:S.183 the Act,Statute,,183,the Act,S.183 the Act,,
statute:S.184 the Act,Statute,,184,the Act,S.184 the Act,,
statute:S.202 the Companies Act,Statute,,202,the Companies Act,S.202 the Companies Act,,
statute:S.170 the Companies Act,Statute,,170,the Companies Act,S.170 the Companies Act,,
statute:S.3 (1) the Act,Statute,,3 (1),the Act,S.3 (1) the Act,,
caseno:214/1960,CaseNumber,,,,,,214/1960
caseno:176/1956,CaseNumber,,,,,,176/1956
0001425329,Case,candidate,,,,,
statute:S.382,Statute,,382,,S.382,,
statute:S.311(2) the Act,Statute,,311(2),the Act,S.311(2) the Act,,
statute:S.41 (3),Statute,,41 (3),,S.41 (3),,
"statute:S.77 the Indian Contract Act, 1872",Statute,,77,"the Indian Contract Act, 1872","S.77 the Indian Contract Act, 1872",,
statute:S.648,Statute,,648,,S.648,,
"statute:S.96 the British North America Act, 1867",Statute,,96,"the British North America Act, 1867","S.96 the British North America Act, 1867",,
statute:S.96 the British North America Act,Statute,,96,the British North America Act,S.96 the British North America Act,,
statute:S.96 the Act were those which were generally understood to be courts at the time when the Constitution Act,Statute,,96,the Act were those which were generally understood to be courts at the time when the Constitution Act,S.96 the Act were those which were generally understood to be courts at the time when the Constitution Act,,
statute:S.311(2) the Government of India Act,Statute,,311(2),the Government of India Act,S.311(2) the Government of India Act,,
statute:S.927,Statute,,927,,S.927,,
"statute:S.29 the Transport Act, 1947",Statute,,29,"the Transport Act, 1947","S.29 the Transport Act, 1947",,
statute:S.92(10),Statute,,92(10),,S.92(10),,
statute:S.51(5) the Australian Commonwealth Act,Statute,,51(5),the Australian Commonwealth Act,S.51(5) the Australian Commonwealth Act,,
statute:S.35o,Statute,,35o,,S.35o,,
caseno:2292/1952,CaseNumber,,,,,,2292/1952
caseno:863/1951,CaseNumber,,,,,,863/1951
caseno:2/1940,CaseNumber,,,,,,2/1940
0001427520,Case,candidate,,,,,
statute:S.64A,Statute,,64A,,S.64A,,
"statute:S.47(3) the Motor Vehicles Act, 1939",Statute,,47(3),"the Motor Vehicles Act, 1939","S.47(3) the Motor Vehicles Act, 1939",,
statute:S.47(3) the Act,Statute,,47(3),the Act,S.47(3) the Act,,
caseno:636/1967,CaseNumber,,,,,,636/1967
caseno:226/1963,CaseNumber,,,,,,226/1963
caseno:100/1956,CaseNumber,,,,,,100/1956
0001428646,Case,candidate,,,,,
statute:S.84(3) the Act,Statute,,84(3),the Act,S.84(3) the Act,,
statute:S.84(3),Statute,,84(3),,S.84(3),,
statute:S.241(1) the Act,Statute,,241(1),the Act,S.241(1) the Act,,
statute:S.503,Statute,,503,,S.503,,
statute:S.142A the Government of India Act 1935,Statute,,142A,the Government of India Act 1935,S.142A the Government of India Act 1935,,
statute:S.48 the Central Provinces Municipalities Act,Statute,,48,the Central Provinces Municipalities Act,S.48 the Central Provinces Municipalities Act,,
"statute:S.206 the Bombay Municipal Boroughs Act, 1925",Statute,,206,"the Bombay Municipal Boroughs Act, 1925","S.206 the Bombay Municipal Boroughs Act, 1925",,
"statute:S.48 the Central Provinces and Berar Municipalities Act, 1922",Statute,,48,"the Central Provinces and Berar Municipalities Act, 1922","S.48 the Central Provinces and Berar Municipalities Act, 1922",,
statute:S.206,Statute,,206,,S.206,,
statute:S.487 the Bombay Act,Statute,,487,the Bombay Act,S.487 the Bombay Act,,
statute:S.127 (4),Statute,,127 (4),,S.127 (4),,
statute:S.127 the Act,Statute,,127,the Act,S.127 the Act,,
statute:S.100 the Government of India Act,Statute,,100,the Government of India Act,S.100 the Government of India Act,,
"statute:S.67 the Bombay Abkari Act, 1878",Statute,,67,"the Bombay Abkari Act, 1878","S.67 the Bombay Abkari Act, 1878",,
statute:S.85(2),Statute,,85(2),,S.85(2),,
statute:S.48 the Municipalities Act,Statute,,48,the Municipalities Act,S.48 the Municipalities Act,,
statute:S.67 the Indian Income Tax Act,Statute,,67,the Indian Income Tax Act,S.67 the Indian Income Tax Act,,
statute:S.83(3) the Act,Statute,,83(3),the Act,S.83(3) the Act,,
statute:S.84(3) the Municipalities Act,Statute,,84(3),the Municipalities Act,S.84(3) the Municipalities Act,,
statute:S.84(3) that Act,Statute,,84(3),that Act,S.84(3) that Act,,
"statute:S.142A the Govern of India Act, 1935",Statute,,142A,"the Govern of India Act, 1935","S.142A the Govern of India Act, 1935",,
statute:S.142A,Statute,,142A,,S.142A,,
statute:S.77A,Statute,,77A,,S.77A,,
statute:S.18A that Act,Statute,,18A,that Act,S.18A that Act,,
statute:S.127 that Act,Statute,,127,that Act,S.127 that Act,,
statute:S.487,Statute,,487,,S.487,,
caseno:679/1964,CaseNumber,,,,,,679/1964
caseno:220/1946,CaseNumber,,,,,,220/1946
caseno:168/1961,CaseNumber,,,,,,168/1961
caseno:389/1954,CaseNumber,,,,,,389/1954
0001429395,Case,candidate,,,,,
statute:S.1O(2),Statute,,1O(2),,S.1O(2),,
caseno:2/1965,CaseNumber,,,,,,2/1965
0001430374,Case,candidate,,,,,
statute:S.169 the Companies Act,Statute,,169,the Companies Act,S.169 the Companies Act,,
statute:S.144 the Companies Act,Statute,,144,the Companies Act,S.144 the Companies Act,,
statute:S.169 the Act,Statute,,169,the Act,S.169 the Act,,
statute:S.169 the Indian Companies Act,Statute,,169,the Indian Companies Act,S.169 the Indian Companies Act,,
statute:S.124 the English Companies Act,Statute,,124,the English Companies Act,S.124 the English Companies Act,,
statute:S.847,Statute,,847,,S.847,,
caseno:1846/1920,CaseNumber,,,,,,1846/1920
caseno:199/1920,CaseNumber,,,,,,199/1920
0001432129,Case,candidate,,,,,
statute:S.61(2) the Punjab Municipalities Act,Statute,,61(2),the Punjab Municipalities Act,S.61(2) the Punjab Municipalities Act,,
caseno:119/1953,CaseNumber,,,,,,119/1953
caseno:77/1946,CaseNumber,,,,,,77/1946
0001433939,Case,candidate,,,,,
statute:S.3506,Statute,,3506,,S.3506,,
statute:S.40A(7),Statute,,40A(7),,S.40A(7),,
statute:S.40A(1),Statute,,40A(1),,S.40A(1),,
statute:S.40A,Statute,,40A,,S.40A,,
caseno:3511/2009,CaseNumber,,,,,,3511/2009
caseno:7490/2009,CaseNumber,,,,,,7490/2009
caseno:3512/2009,CaseNumber,,,,,,3512/2009
caseno:5616/2009,CaseNumber,,,,,,5616/2009
caseno:3513/2009,CaseNumber,,,,,,3513/2009
caseno:12063/2009,CaseNumber,,,,,,12063/2009
caseno:4633/2009,CaseNumber,,,,,,4633/2009
caseno:3514/2009,CaseNumber,,,,,,3514/2009
caseno:722/2009,CaseNumber,,,,,,722/2009
caseno:3515/2009,CaseNumber,,,,,,3515/2009
caseno:723/2009,CaseNumber,,,,,,723/2009
caseno:3516/2009,CaseNumber,,,,,,3516/2009
caseno:4776/2009,CaseNumber,,,,,,4776/2009
caseno:3517/2009,CaseNumber,,,,,,3517/2009
caseno:3440/2009,CaseNumber,,,,,,3440/2009
caseno:3518/2009,CaseNumber,,,,,,3518/2009
caseno:4182/2009,CaseNumber,,,,,,4182/2009
caseno:3519/2009,CaseNumber,,,,,,3519/2009
caseno:4183/2009,CaseNumber,,,,,,4183/2009
caseno:3520/2009,CaseNumber,,,,,,3520/2009
caseno:4184/2009,CaseNumber,,,,,,4184/2009
caseno:3521/2009,CaseNumber,,,,,,3521/2009
caseno:8983/2009,CaseNumber,,,,,,8983/2009
caseno:3522/2009,CaseNumber,,,,,,3522/2009
caseno:8982/2009,CaseNumber,,,,,,8982/2009
caseno:3523/2009,CaseNumber,,,,,,3523/2009
caseno:8311/2009,CaseNumber,,,,,,8311/2009
caseno:3524/2009,CaseNumber,,,,,,3524/2009
caseno:12064/2009,CaseNumber,,,,,,12064/2009
caseno:5279/2009,CaseNumber,,,,,,5279/2009
caseno:163/2003,CaseNumber,,,,,,163/2003
0001434001,Case,candidate,,,,,
statute:S.177 the old Tenancy Act,Statute,,177,the old Tenancy Act,S.177 the old Tenancy Act,,
statute:S.248(3),Statute,,248(3),,S.248(3),,
statute:S.249,Statute,,249,,S.249,,
statute:S.264,Statute,,264,,S.264,,
statute:S.253 the Act,Statute,,253,the Act,S.253 the Act,,
statute:S.3 (12) the Act,Statute,,3 (12),the Act,S.3 (12) the Act,,
statute:S.4(6),Statute,,4(6),,S.4(6),,
statute:S.43(2),Statute,,43(2),,S.43(2),,
statute:S.107(2),Statute,,107(2),,S.107(2),,
statute:S.525 the old Act,Statute,,525,the old Act,S.525 the old Act,,
statute:S.115 the new Act,Statute,,115,the new Act,S.115 the new Act,,
statute:S.258,Statute,,258,,S.258,,
0001435406,Case,candidate,,,,,
"statute:S.110(1) the Motor Vehicles Act, 1939",Statute,,110(1),"the Motor Vehicles Act, 1939","S.110(1) the Motor Vehicles Act, 1939",,
0001441865,Case,candidate,,,,,
statute:S.3533,Statute,,3533,,S.3533,,
statute:S.3535,Statute,,3535,,S.3535,,
statute:S.6 the general Clauses Act,Statute,,6,the general Clauses Act,S.6 the general Clauses Act,,
judge:Sujata V. Manohar,Judge,,,,,Sujata V. Manohar,
caseno:18806/1995,CaseNumber,,,,,,18806/1995
caseno:580/1995,CaseNumber,,,,,,580/1995
caseno:10/1991,CaseNumber,,,,,,10/1991
caseno:32/1989,CaseNumber,,,,,,32/1989
caseno:21/1990,CaseNumber,,,,,,21/1990
0001444110,Case,candidate,,,,,
caseno:49/1925,CaseNumber,,,,,,49/1925
caseno:361/1925,CaseNumber,,,,,,361/1925
caseno:58/1925,CaseNumber,,,,,,58/1925
caseno:240/1930,CaseNumber,,,,,,240/1930
caseno:38/1927,CaseNumber,,,,,,38/1927
caseno:23/1931,CaseNumber,,,,,,23/1931
caseno:391/1932,CaseNumber,,,,,,391/1932
caseno:151/1933,CaseNumber,,,,,,151/1933
caseno:106/1934,CaseNumber,,,,,,106/1934
0001444664,Case,candidate,,,,,
statute:S.11A(2),Statute,,11A(2),,S.11A(2),,
statute:S.11A(1),Statute,,11A(1),,S.11A(1),,
statute:S.11A(2) the Act,Statute,,11A(2),the Act,S.11A(2) the Act,,
statute:S.3(11),Statute,,3(11),,S.3(11),,
caseno:2615/1972,CaseNumber,,,,,,2615/1972
0001446441,Case,candidate,,,,,
statute:S.141 the Negotiable Instruments Act,Statute,,141,the Negotiable Instruments Act,S.141 the Negotiable Instruments Act,,
caseno:13799/1997,CaseNumber,,,,,,13799/1997
0001447641,Case,candidate,,,,,
statute:S.6131,Statute,,6131,,S.6131,,
statute:S.4662,Statute,,4662,,S.4662,,
0001450722,Case,candidate,,,,,
statute:S.7 the Industrial Disputes Act,Statute,,7,the Industrial Disputes Act,S.7 the Industrial Disputes Act,,
statute:S.100(2),Statute,,100(2),,S.100(2),,
"statute:S.2 the Ballot Act, 1872",Statute,,2,"the Ballot Act, 1872","S.2 the Ballot Act, 1872",,
statute:S.100 (2),Statute,,100 (2),,S.100 (2),,
statute:S.100(1),Statute,,100(1),,S.100(1),,
statute:S.13 the Ballot Act,Statute,,13,the Ballot Act,S.13 the Ballot Act,,
caseno:61/1954,CaseNumber,,,,,,61/1954
caseno:180/1952,CaseNumber,,,,,,180/1952
caseno:42/1952,CaseNumber,,,,,,42/1952
0001451408,Case,candidate,,,,,
statute:S.3 the Act provided for liability of tax under the Act,Statute,,3,the Act provided for liability of tax under the Act,S.3 the Act provided for liability of tax under the Act,,
statute:S.24 the General Clauses Act,Statute,,24,the General Clauses Act,S.24 the General Clauses Act,,
caseno:333/1977,CaseNumber,,,,,,333/1977
caseno:61/1972,CaseNumber,,,,,,61/1972
0001453495,Case,candidate,,,,,
"statute:S.17 the Arbitration Act, 1940",Statute,,17,"the Arbitration Act, 1940","S.17 the Arbitration Act, 1940",,
statute:S.14 the Arbitration Act,Statute,,14,the Arbitration Act,S.14 the Arbitration Act,,
caseno:8/1978,CaseNumber,,,,,,8/1978
caseno:399/1978,CaseNumber,,,,,,399/1978
0001455092,Case,candidate,,,,,
statute:S.3034,Statute,,3034,,S.3034,,
statute:S.7418,Statute,,7418,,S.7418,,
statute:S.17291,Statute,,17291,,S.17291,,
statute:S.13 the Indian Act,Statute,,13,the Indian Act,S.13 the Indian Act,,
"statute:S.13 the Railway Act, 1890",Statute,,13,"the Railway Act, 1890","S.13 the Railway Act, 1890",,
"statute:S.13 the Railways Act, 1850",Statute,,13,"the Railways Act, 1850","S.13 the Railways Act, 1850",,
statute:S.79 the Highway Act,Statute,,79,the Highway Act,S.79 the Highway Act,,
"statute:S.13 the Railways Act, 1890",Statute,,13,"the Railways Act, 1890","S.13 the Railways Act, 1890",,
statute:S.168(1) the new Act,Statute,,168(1),the new Act,S.168(1) the new Act,,
0001459699,Case,candidate,,,,,
statute:S.49 the Indian Registration Act,Statute,,49,the Indian Registration Act,S.49 the Indian Registration Act,,
statute:S.913,Statute,,913,,S.913,,
caseno:73/1885,CaseNumber,,,,,,73/1885
caseno:85/1899,CaseNumber,,,,,,85/1899
0001461059,Case,candidate,,,,,
statute:S.1847,Statute,,1847,,S.1847,,
caseno:128/1966,CaseNumber,,,,,,128/1966
0001466900,Case,candidate,,,,,
statute:S.53(3) the Act,Statute,,53(3),the Act,S.53(3) the Act,,
statute:S.5 the Indian Limitation Act,Statute,,5,the Indian Limitation Act,S.5 the Indian Limitation Act,,
0001467818,Case,candidate,,,,,
statute:S.7868/10/,Statute,,7868/10/,,S.7868/10/,,
statute:S.94 the Evidence Act,Statute,,94,the Evidence Act,S.94 the Evidence Act,,
caseno:72/1961,CaseNumber,,,,,,72/1961
caseno:212/1956,CaseNumber,,,,,,212/1956
caseno:44/1952,CaseNumber,,,,,,44/1952
0001471864,Case,candidate,,,,,
0001472175,Case,candidate,,,,,
"statute:S.263 the IT Act, 1961",Statute,,263,"the IT Act, 1961","S.263 the IT Act, 1961",,
statute:S.1985,Statute,,1985,,S.1985,,
statute:S.271(1),Statute,,271(1),,S.271(1),,
statute:S.142(1),Statute,,142(1),,S.142(1),,
statute:S.34(1) the Indian IT Act,Statute,,34(1),the Indian IT Act,S.34(1) the Indian IT Act,,
"statute:S.255(4) THE IT ACT, 1961",Statute,,255(4),"THE IT ACT, 1961","S.255(4) THE IT ACT, 1961",,
statute:S.255(4) the IT Act,Statute,,255(4),the IT Act,S.255(4) the IT Act,,
0001472998,Case,candidate,,,,,
statute:S.9 the Principal Act,Statute,,9,the Principal Act,S.9 the Principal Act,,
statute:S.2(4) the Act,Statute,,2(4),the Act,S.2(4) the Act,,
statute:S.2(4),Statute,,2(4),,S.2(4),,
statute:S.12 this Act,Statute,,12,this Act,S.12 this Act,,
statute:S.22 the Hindu Adoptions and Maintenance Act,Statute,,22,the Hindu Adoptions and Maintenance Act,S.22 the Hindu Adoptions and Maintenance Act,,
statute:S.22(1) the Hindu Adoptions and Maintenance Act,Statute,,22(1),the Hindu Adoptions and Maintenance Act,S.22(1) the Hindu Adoptions and Maintenance Act,,
statute:S.12 the main Act,Statute,,12,the main Act,S.12 the main Act,,
statute:S.2 (4),Statute,,2 (4),,S.2 (4),,
statute:S.116 the Transfer of Property Act indicate the rule which is prima facie applicable in cases not coming under the Act,Statute,,116,the Transfer of Property Act indicate the rule which is prima facie applicable in cases not coming under the Act,S.116 the Transfer of Property Act indicate the rule which is prima facie applicable in cases not coming under the Act,,
caseno:7876/1986,CaseNumber,,,,,,7876/1986
caseno:2672/1960,CaseNumber,,,,,,2672/1960
caseno:884/1946,CaseNumber,,,,,,884/1946
caseno:4625/1987,CaseNumber,,,,,,4625/1987
caseno:134/1997,CaseNumber,,,,,,134/1997
caseno:10514/1998,CaseNumber,,,,,,10514/1998
0001474368,Case,candidate,,,,,
statute:S.22 the Punjab General Clauses Act,Statute,,22,the Punjab General Clauses Act,S.22 the Punjab General Clauses Act,,
statute:S.2386,Statute,,2386,,S.2386,,
statute:S.1591,Statute,,1591,,S.1591,,
statute:S.2387,Statute,,2387,,S.2387,,
statute:S.1913,Statute,,1913,,S.1913,,
statute:S.10(4) the Act,Statute,,10(4),the Act,S.10(4) the Act,,
statute:S.5 (1 ),Statute,,5 (1 ),,S.5 (1 ),,
statute:S.5 ( 1 ) the Act,Statute,,5 ( 1 ),the Act,S.5 ( 1 ) the Act,,
statute:S.5 ( 1 ),Statute,,5 ( 1 ),,S.5 ( 1 ),,
statute:S.5 (1 ) the Act,Statute,,5 (1 ),the Act,S.5 (1 ) the Act,,
statute:S.5 (2) the Punjab Act,Statute,,5 (2),the Punjab Act,S.5 (2) the Punjab Act,,
statute:S.11 (6) the Punjab Act,Statute,,11 (6),the Punjab Act,S.11 (6) the Punjab Act,,
statute:S.5 the Punjab Act,Statute,,5,the Punjab Act,S.5 the Punjab Act,,
caseno:2386/1966,CaseNumber,,,,,,2386/1966
0001479692,Case,candidate,,,,,
statute:S.22 the present Tenancy Act,Statute,,22,the present Tenancy Act,S.22 the present Tenancy Act,,
statute:S.22 the Bengal Tenancy Act,Statute,,22,the Bengal Tenancy Act,S.22 the Bengal Tenancy Act,,
0001479705,Case,candidate,,,,,
"statute:S.19(3) the Displaced Persons Act, 1954",Statute,,19(3),"the Displaced Persons Act, 1954","S.19(3) the Displaced Persons Act, 1954",,
caseno:124/1965,CaseNumber,,,,,,124/1965
0001483559,Case,candidate,,,,,
statute:S.418,Statute,,418,,S.418,,
"statute:S.145 the Income Tax Act, 1961",Statute,,145,"the Income Tax Act, 1961","S.145 the Income Tax Act, 1961",,
statute:S.145 the Income Tax Act 1861,Statute,,145,the Income Tax Act 1861,S.145 the Income Tax Act 1861,,
statute:S.145 the Income Tax Act 1961,Statute,,145,the Income Tax Act 1961,S.145 the Income Tax Act 1961,,
0001484981,Case,candidate,,,,,
"statute:S.7 the Industrial Disputes Act, 1947",Statute,,7,"the Industrial Disputes Act, 1947","S.7 the Industrial Disputes Act, 1947",,
statute:S.1959,Statute,,1959,,S.1959,,
statute:S.746,Statute,,746,,S.746,,
caseno:205/1958,CaseNumber,,,,,,205/1958
caseno:16/1956,CaseNumber,,,,,,16/1956
0001486242,Case,candidate,,,,,
statute:S.139 the IT Act,Statute,,139,the IT Act,S.139 the IT Act,,
statute:S.90 the IT Act,Statute,,90,the IT Act,S.90 the IT Act,,
statute:S.148 the IT Act,Statute,,148,the IT Act,S.148 the IT Act,,
statute:S.143(2) the IT Act,Statute,,143(2),the IT Act,S.143(2) the IT Act,,
"statute:S.143(3) the Income Tax Act, 1961",Statute,,143(3),"the Income Tax Act, 1961","S.143(3) the Income Tax Act, 1961",,
statute:S.148 the Income Tax Act,Statute,,148,the Income Tax Act,S.148 the Income Tax Act,,
statute:S.144 the IT Act,Statute,,144,the IT Act,S.144 the IT Act,,
statute:S.142(1) the IT Act,Statute,,142(1),the IT Act,S.142(1) the IT Act,,
statute:S.44B,Statute,,44B,,S.44B,,
statute:S.147 the IT Act,Statute,,147,the IT Act,S.147 the IT Act,,
statute:S.147 / 148 /,Statute,,147 / 148 /,,S.147 / 148 /,,
statute:S.143(1) the Act,Statute,,143(1),the Act,S.143(1) the Act,,
statute:S.143(2) the Act,Statute,,143(2),the Act,S.143(2) the Act,,
statute:S.237 the Act,Statute,,237,the Act,S.237 the Act,,
statute:S.4997,Statute,,4997,,S.4997,,
0001490167,Case,candidate,,,,,
statute:S.5(10),Statute,,5(10),,S.5(10),,
statute:S.12(3) the Bombay Rent Act,Statute,,12(3),the Bombay Rent Act,S.12(3) the Bombay Rent Act,,
statute:S.5 (10),Statute,,5 (10),,S.5 (10),,
statute:S.23 the Bombay Rent Act,Statute,,23,the Bombay Rent Act,S.23 the Bombay Rent Act,,
statute:S.87B,Statute,,87B,,S.87B,,
statute:S.119 the State Reorganisation Act,Statute,,119,the State Reorganisation Act,S.119 the State Reorganisation Act,,
"statute:S.4 the East Punjab Urban Rent Restriction Act, 1949",Statute,,4,"the East Punjab Urban Rent Restriction Act, 1949","S.4 the East Punjab Urban Rent Restriction Act, 1949",,
statute:S.5 (10) the Bombay Rent Act,Statute,,5 (10),the Bombay Rent Act,S.5 (10) the Bombay Rent Act,,
statute:S.4 (10),Statute,,4 (10),,S.4 (10),,
statute:S.10D(1),Statute,,10D(1),,S.10D(1),,
statute:S.10D(4),Statute,,10D(4),,S.10D(4),,
statute:S.10E,Statute,,10E,,S.10E,,
statute:S.10G,Statute,,10G,,S.10G,,
statute:S.6945,Statute,,6945,,S.6945,,
statute:S.23 the Rent Act,Statute,,23,the Rent Act,S.23 the Rent Act,,
statute:S.686,Statute,,686,,S.686,,
statute:S.563,Statute,,563,,S.563,,
statute:S.11900,Statute,,11900,,S.11900,,
statute:S.6650,Statute,,6650,,S.6650,,
statute:S.3500,Statute,,3500,,S.3500,,
caseno:18/1987,CaseNumber,,,,,,18/1987
caseno:79/1986,CaseNumber,,,,,,79/1986
0001490816,Case,candidate,,,,,
"statute:S.8 the Madras General Clauses Act, 1891",Statute,,8,"the Madras General Clauses Act, 1891","S.8 the Madras General Clauses Act, 1891",,
statute:S.211(1),Statute,,211(1),,S.211(1),,
statute:S.189 the Act,Statute,,189,the Act,S.189 the Act,,
statute:S.793,Statute,,793,,S.793,,
statute:S.821,Statute,,821,,S.821,,
statute:S.211 the Estates Land Act,Statute,,211,the Estates Land Act,S.211 the Estates Land Act,,
statute:S.291,Statute,,291,,S.291,,
statute:S.982,Statute,,982,,S.982,,
statute:S.77 the Estates Land Act,Statute,,77,the Estates Land Act,S.77 the Estates Land Act,,
statute:S.211 the Act,Statute,,211,the Act,S.211 the Act,,
statute:S.211 the Estates Land Act applied retrospectively and barred suits which would have been in time but for the Estates Land Act,Statute,,211,the Estates Land Act applied retrospectively and barred suits which would have been in time but for the Estates Land Act,S.211 the Estates Land Act applied retrospectively and barred suits which would have been in time but for the Estates Land Act,,
statute:S.210 the Instates hand Act,Statute,,210,the Instates hand Act,S.210 the Instates hand Act,,
0001490925,Case,candidate,,,,,
caseno:12947/1993,CaseNumber,,,,,,12947/1993
caseno:548/2000,CaseNumber,,,,,,548/2000
0001491020,Case,candidate,,,,,
caseno:13/1979,CaseNumber,,,,,,13/1979
caseno:55/1979,CaseNumber,,,,,,55/1979
0001492714,Case,candidate,,,,,
statute:S.189(1) the Act,Statute,,189(1),the Act,S.189(1) the Act,,
statute:S.189(1),Statute,,189(1),,S.189(1),,
statute:S.47 the Partnership Act,Statute,,47,the Partnership Act,S.47 the Partnership Act,,
statute:S.2(7),Statute,,2(7),,S.2(7),,
"statute:S.10(1) the Indian IT Act, 1922",Statute,,10(1),"the Indian IT Act, 1922","S.10(1) the Indian IT Act, 1922",,
statute:S.47 the Indian Partnership Act for the purpose of realising the act,Statute,,47,the Indian Partnership Act for the purpose of realising the act,S.47 the Indian Partnership Act for the purpose of realising the act,,
statute:S.176(1),Statute,,176(1),,S.176(1),,
"statute:S.189 IT Act, 1961",Statute,,189,"IT Act, 1961","S.189 IT Act, 1961",,
"statute:S.44 the Indian IT Act, 1922",Statute,,44,"the Indian IT Act, 1922","S.44 the Indian IT Act, 1922",,
statute:S.189 the IT Act,Statute,,189,the IT Act,S.189 the IT Act,,
court:Kerala High Court,Court,,,,,Kerala High Court,
0001495774,Case,candidate,,,,,
statute:S.5(1) the Ordinance which saved the act,Statute,,5(1),the Ordinance which saved the act,S.5(1) the Ordinance which saved the act,,
statute:S.525,Statute,,525,,S.525,,
statute:S.13 the act,Statute,,13,the act,S.13 the act,,
statute:S.254(2),Statute,,254(2),,S.254(2),,
statute:S.11 (3) the Act,Statute,,11 (3),the Act,S.11 (3) the Act,,
caseno:12/1959,CaseNumber,,,,,,12/1959
caseno:526/1960,CaseNumber,,,,,,526/1960
caseno:72/1958,CaseNumber,,,,,,72/1958
0001499787,Case,candidate,,,,,
statute:S.3341,Statute,,3341,,S.3341,,
0001505859,Case,candidate,,,,,
statute:S.32 the Evidence Act,Statute,,32,the Evidence Act,S.32 the Evidence Act,,
statute:S.32 the evidence Act,Statute,,32,the evidence Act,S.32 the evidence Act,,
statute:S.32 the Indian Evidence Act,Statute,,32,the Indian Evidence Act,S.32 the Indian Evidence Act,,
statute:S.32 (1) the Evidence Act,Statute,,32 (1),the Evidence Act,S.32 (1) the Evidence Act,,
caseno:203/1982,CaseNumber,,,,,,203/1982
caseno:98/1958,CaseNumber,,,,,,98/1958
caseno:55/1966,CaseNumber,,,,,,55/1966
caseno:120/1957,CaseNumber,,,,,,120/1957
caseno:745/1983,CaseNumber,,,,,,745/1983
caseno:265/1983,CaseNumber,,,,,,265/1983
0001506501,Case,candidate,,,,,
statute:S.153 the Bankrupt Law Consolidation Act,Statute,,153,the Bankrupt Law Consolidation Act,S.153 the Bankrupt Law Consolidation Act,,
statute:S.389,Statute,,389,,S.389,,
statute:S.88 the last Indian Companies Act,Statute,,88,the last Indian Companies Act,S.88 the last Indian Companies Act,,
statute:S.69(3),Statute,,69(3),,S.69(3),,
0001507940,Case,candidate,,,,,
statute:S.68F(1),Statute,,68F(1),,S.68F(1),,
statute:S.68C,Statute,,68C,,S.68C,,
statute:S.42(3),Statute,,42(3),,S.42(3),,
statute:S.42(1) the Act,Statute,,42(1),the Act,S.42(1) the Act,,
statute:S.47(1) the Act,Statute,,47(1),the Act,S.47(1) the Act,,
statute:S.68A,Statute,,68A,,S.68A,,
statute:S.2(33),Statute,,2(33),,S.2(33),,
statute:S.68B,Statute,,68B,,S.68B,,
statute:S.68D,Statute,,68D,,S.68D,,
statute:S.68F (1),Statute,,68F (1),,S.68F (1),,
caseno:110/1959,CaseNumber,,,,,,110/1959
0001508089,Case,candidate,,,,,
statute:S.3 the Prevention of Insults to National Honour Act,Statute,,3,the Prevention of Insults to National Honour Act,S.3 the Prevention of Insults to National Honour Act,,
caseno:483/1985,CaseNumber,,,,,,483/1985
0001511395,Case,candidate,,,,,
0001511412,Case,candidate,,,,,
statute:S.14 SARFAESI Act,Statute,,14,SARFAESI Act,S.14 SARFAESI Act,,
